time; o; d; v;
26.320000; 0.622361; 0.644993; 0.012079;
26.400000; 0.627694; 0.644710; 0.011846;
26.480000; 0.655748; 0.644497; 0.011522;
26.560000; 0.626554; 0.644178; 0.012167;
26.640000; 0.616916; 0.643792; 0.012947;
26.720000; 0.614727; 0.643354; 0.013131;
26.800000; 0.626652; 0.642901; 0.013147;
26.880000; 0.613670; 0.642434; 0.013160;
26.960000; 0.619690; 0.641954; 0.013170;
27.040000; 0.622447; 0.641460; 0.013184;
27.120000; 0.611372; 0.640954; 0.013196;
27.200000; 0.631957; 0.640590; 0.009364;
27.280000; 0.615190; 0.640469; 0.005656;
27.360000; 0.607688; 0.640307; 0.009161;
27.440000; 0.611119; 0.640081; 0.011992;
27.520000; 0.597862; 0.639642; 0.012760;
27.600000; 0.600341; 0.639263; 0.012487;
27.680000; 0.605872; 0.638821; 0.012680;
27.760000; 0.596180; 0.638342; 0.012861;
27.840000; 0.609828; 0.637836; 0.013004;
27.920000; 0.603788; 0.637317; 0.013043;
28.000000; 0.601583; 0.636788; 0.013138;
28.080000; 0.613301; 0.636247; 0.010784;
28.160000; 0.600805; 0.635694; 0.013166;
28.240000; 0.607142; 0.635131; 0.013077;
28.320000; 0.609751; 0.634558; 0.013062;
28.400000; 0.599843; 0.633973; 0.012597;
28.480000; 0.617002; 0.633363; 0.012181;
28.560000; 0.598817; 0.632953; 0.011734;
28.640000; 0.575817; 0.632723; 0.009813;
28.720000; 0.606455; 0.632660; 0.008531;
28.800000; 0.588280; 0.632387; 0.008643;
28.880000; 0.590182; 0.632273; 0.006813;
28.960000; 0.589290; 0.632013; 0.010040;
29.040000; 0.594436; 0.631788; 0.008676;
29.120000; 0.611365; 0.631575; 0.009141;
29.200000; 0.602620; 0.631412; 0.009666;
29.280000; 0.604517; 0.631143; 0.007094;
29.360000; 0.620606; 0.630926; 0.007883;
29.440000; 0.605024; 0.630546; 0.009380;
29.520000; 0.603863; 0.630250; 0.009642;
29.600000; 0.593993; 0.629885; 0.009624;
29.680000; 0.585470; 0.629613; 0.007765;
29.760000; 0.624126; 0.629315; 0.005051;
29.840000; 0.619689; 0.629029; 0.009196;
29.920000; 0.593809; 0.628710; 0.006888;
30.000000; 0.613178; 0.628367; 0.006019;
30.080000; 0.623398; 0.628144; 0.005331;
30.160000; 0.649558; 0.627826; 0.005077;
30.240000; 0.611132; 0.627439; 0.007554;
30.320000; 0.629288; 0.627255; 0.006111;
30.400000; 0.637353; 0.626910; 0.005625;
30.480000; 0.605852; 0.626644; 0.007950;
30.560000; 0.598689; 0.626344; 0.006931;
30.640000; 0.568187; 0.626059; 0.005142;
30.720000; 0.565999; 0.625627; 0.008728;
30.800000; 0.577070; 0.625316; 0.005673;
30.880000; 0.595467; 0.625092; 0.006112;
30.960000; 0.623271; 0.624754; 0.006737;
31.040000; 0.605519; 0.624438; 0.005786;
31.120000; 0.614330; 0.624093; 0.007039;
31.200000; 0.617852; 0.623864; 0.005088;
31.280000; 0.644083; 0.623464; 0.006494;
31.360000; 0.594046; 0.623151; 0.005731;
31.440000; 0.582861; 0.622769; 0.006656;
31.520000; 0.585646; 0.622400; 0.007329;
31.600000; 0.593522; 0.621988; 0.005548;
31.680000; 0.557122; 0.621612; 0.005790;
31.760000; 0.544961; 0.621272; 0.007903;
31.840000; 0.589358; 0.620924; 0.006262;
31.920000; 0.551675; 0.620608; 0.007369;
32.000000; 0.626888; 0.620546; 0.001951;
32.080000; 0.635479; 0.620237; 0.008383;
32.160000; 0.627881; 0.620034; 0.003423;
32.240000; 0.659808; 0.619782; 0.009222;
32.320000; 0.638271; 0.619484; 0.003919;
32.400000; 0.651913; 0.619257; 0.007090;
